étt¡pus;Le¡r s;T vols g (m);Sebess‚g (Km/h);Menetid‹ (perc);Egyir ny£?;S£lykorl toz s z¢na;C‚lforgalomban haszn lhat¢?;étd¡j szelv‚ny;étd¡j
6-V ros;Almafa utca;416,00;50,00;0,50;; ;;;0,00
6-V ros;Tibormajori utca;1 133,00;50,00;1,36;; ;;;0,00
5-Als¢bbrendu £t;Tatai £t;2 188,00;70,00;1,88;; ;;;0,00
4-Egy‚b (k‚tsz mjegyû) £t;;36,00;70,00;0,03;; ;;;0,00
4-Egy‚b (k‚tsz mjegyû) £t;;186,00;70,00;0,16;; ;;;0,00
4-Egy‚b (k‚tsz mjegyû) £t;Feh‚rv ri £t;152,00;70,00;0,13;; ;;;0,00
6-V ros;Feh‚rv ri £t;67,00;50,00;0,08;; ;;;0,00
4-Egy‚b (k‚tsz mjegyû) £t;Feh‚rv ri £t;937,00;70,00;0,80;; ;;;0,00
6-V ros;;77,00;50,00;0,09;; ;;;0,00
4-Egy‚b (k‚tsz mjegyû) £t;Feh‚rv ri £t;482,00;70,00;0,41;; ;;;0,00
4-Egy‚b (k‚tsz mjegyû) £t;Feh‚rv ri £t;53,00;70,00;0,05;; ;;;0,00
4-Egy‚b (k‚tsz mjegyû) £t;Feh‚rv ri £t;1 076,00;70,00;0,92;; ;;;0,00
4-Egy‚b (k‚tsz mjegyû) £t;Feh‚rv ri £t;158,00;70,00;0,14;; ;;;0,00
4-Egy‚b (k‚tsz mjegyû) £t;Szent Istv n £t;155,00;70,00;0,13;; ;;;0,00
4-Egy‚b (k‚tsz mjegyû) £t;Szent Istv n £t;168,00;70,00;0,14;; ;;;0,00
3-F‹£tvonal;Szent Istv n £t;2 405,00;70,00;2,06;; ;;;0,00
3-F‹£tvonal;;181,00;70,00;0,16;; ;;;0,00
3-F‹£tvonal;;1 893,00;70,00;1,62;; ;;1u127k1076m;26,60
3-F‹£tvonal;;1 187,00;70,00;1,02;; ;;1u129k928m;17,30
4-Egy‚b (k‚tsz mjegyû) £t;;1 807,00;70,00;1,55;; ;;85u0k0m;25,84
4-Egy‚b (k‚tsz mjegyû) £t;;3 300,00;70,00;2,83;; ;;85u1k808m;47,01
4-Egy‚b (k‚tsz mjegyû) £t;;4 169,00;70,00;3,57;; ;;85u5k280m;60,07
4-Egy‚b (k‚tsz mjegyû) £t;;39,00;70,00;0,03;; ;;;0,00
4-Egy‚b (k‚tsz mjegyû) £t;;227,00;70,00;0,19;; ;;;0,00
4-Egy‚b (k‚tsz mjegyû) £t;;499,00;70,00;0,43;; ;;;0,00
2-Aut¢£t;;2 349,00;70,00;2,01;; ;;M85u6k800m;93,68
2-Aut¢£t;;4 112,00;70,00;3,52;; ;;M85u10k2m;132,62
4-Egy‚b (k‚tsz mjegyû) £t;;1 683,00;70,00;1,44;; ;;85u15k710m;26,31
4-Egy‚b (k‚tsz mjegyû) £t;;1 038,00;70,00;0,89;; ;;85u17k551m;14,37
4-Egy‚b (k‚tsz mjegyû) £t;;2 198,00;70,00;1,88;; ;;85u18k573m;31,41
4-Egy‚b (k‚tsz mjegyû) £t;;3 539,00;70,00;3,03;; ;;85u20k788m;50,24
4-Egy‚b (k‚tsz mjegyû) £t;;290,00;70,00;0,25;; ;;85u24k318m;4,35
4-Egy‚b (k‚tsz mjegyû) £t;;26,00;70,00;0,02;; ;;;0,00
4-Egy‚b (k‚tsz mjegyû) £t;Soproni £t;1 211,00;70,00;1,04;; ;;;0,00
4-Egy‚b (k‚tsz mjegyû) £t;;40,00;70,00;0,03;; ;;;0,00
4-Egy‚b (k‚tsz mjegyû) £t;Soproni £t;679,00;70,00;0,58;; ;;;0,00
4-Egy‚b (k‚tsz mjegyû) £t;;22,00;70,00;0,02;; ;;;0,00
4-Egy‚b (k‚tsz mjegyû) £t;Bart¢k B‚la £t;1 834,00;70,00;1,57;; ;;;0,00
4-Egy‚b (k‚tsz mjegyû) £t;;97,00;70,00;0,08;; ;;;0,00
